Date,Open,High,Low,Close,Volume,Adj Close
2015-11-11,82.419998,82.559998,81.400002,81.620003,9598000,79.533512
2015-11-10,81.93,82.610001,81.860001,82.349998,14238000,80.244846
2015-11-09,83.559998,83.599998,81.800003,81.949997,13551200,79.85507
2015-11-06,83.93,84.470001,83.220001,84.470001,12491700,81.599317
2015-11-05,85.550003,86.230003,84.50,84.809998,12291100,81.927759
2015-11-04,86.769997,87.080002,85.699997,85.980003,14245400,83.058002
2015-11-03,85.660004,87.440002,85.580002,86.849998,20115900,83.898431
2015-11-02,82.300003,85.93,82.089996,85.279999,21266500,82.381787
2015-10-30,82.470001,83.879997,81.260002,82.739998,18758600,79.928107
2015-10-29,81.790001,83.220001,81.790001,82.230003,10341200,79.435445
2015-10-28,81.309998,82.580002,80.93,82.279999,12473000,79.483741
2015-10-27,80.57,81.160004,79.730003,81.089996,13579400,78.33418
2015-10-26,82.519997,82.730003,81.169998,81.220001,12576400,78.459767
2015-10-23,82.410004,83.00,81.889999,82.980003,13215700,80.159956
2015-10-22,80.68,82.959999,80.660004,82.889999,14823500,80.073011
2015-10-21,80.860001,81.150002,80.110001,80.209999,10274900,77.484089
2015-10-20,80.550003,81.059998,80.199997,80.830002,12340100,78.083022
2015-10-19,82.010002,82.169998,80.760002,80.989998,14155800,78.23758
2015-10-16,82.260002,82.50,81.449997,82.480003,13251200,79.676948
2015-10-15,80.190002,81.529999,79.900002,81.480003,13640900,78.710933
2015-10-14,78.970001,80.480003,78.779999,80.160004,14486000,77.435793
2015-10-13,78.720001,79.550003,78.489998,79.160004,12326600,76.469778
2015-10-12,79.589996,79.589996,78.720001,79.300003,9931800,76.605019
2015-10-09,80.050003,80.169998,78.620003,79.260002,17384700,76.566378
2015-10-08,79.309998,80.110001,78.540001,80.029999,14344700,77.310206
2015-10-07,78.970001,79.290001,77.529999,79.199997,18666300,76.508412
2015-10-06,76.959999,78.559998,76.260002,77.889999,18757900,75.242934
2015-10-05,76.650002,77.150002,75.790001,76.809998,18486700,74.199636
